7-18-2015,69
7-19-2015,71
7-20-2015,69
7-21-2015,67
7-22-2015,59
7-18-2016,69
7-19-2016,55
7-20-2016,51
7-21-2016,51
7-22-2016,53
7-18-2017,45
7-19-2017,55
7-20-2017,57
7-21-2017,61
7-22-2017,75
7-18-2018,51
7-19-2018,51
7-20-2018,62
7-21-2018,74
7-22-2018,77
7-18-2019,64
7-19-2019,60
7-20-2019,68
7-21-2019,70
7-22-2019,76
7-18-2020,59
7-19-2020,63
7-20-2020,59
7-21-2020,60
7-22-2020,65
7-18-2021,63
7-19-2021,63
7-20-2021,63
7-21-2021,67
7-22-2021,66
7-18-2022,78
7-19-2022,52
7-20-2022,57
7-21-2022,59
7-22-2022,55
7-18-2023,51
7-19-2023,52
7-20-2023,64
7-21-2023,74
7-22-2023,58
7-18-2024,53
7-19-2024,50
7-20-2024,50
7-21-2024,48
7-22-2024,65
